title,link,price,extracted_price,rating,reviews,extensions,thumbnails
Hotel RJ - Managed by AHG,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CKEDEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAEBY&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQkk9MidDaGtJejhyRF9MbUVySXdIR2cwdlp5OHhNV3A2Y0hONWRub3pFQUU4DUgA&ap=MAE,"₹4,032","₹4,032",4.6,105,"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipMFFotXQp9BcE-iFRpaUZRG1RVXW3n-4WgVqLg=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOCfp8eyH8IksXyigLQFVkPGqcdjUEf514aIFw=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMocJ00yZww6KWbbNo8DHZYIoggQc353fc-j_0=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMYVYYiFfTJbKM9ECDjSihX99_-kC4_AyJnmKg=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMcEKqDCz_cBZaS6vE1pMfeu37KukfVpUNdjT4=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPC47FKAWgm0m2K0NpLFQZuJEqOcNCC7n0436M=s287-w287-h192-n-k-no-v1']"
Belvedere Suites- A Boutique Hotel,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CLgDEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAEBY&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQkk9MidDaGtJOWRYWG00YXEwUGdvR2cwdlp5OHhNWE5vYzNZM2MySTBFQUU4DUgA&ap=MAE,"₹3,422","₹3,422",4.3,77,"['Free Wi-Fi', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipP7wnPuX5qpyJGKVBknSYHtNwY8Ju6wNsaDfkDq=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMrB7nunGblRpzZptg7liZ7ffiT5xy5ibBk_hNn=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMVW7ZcJK-GACpa24L_TqjG_9o3W4SDgxKMNM7p=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOOBcFDaUaHrzgHMsemv54VWwTO91RgHks24An8=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMVS73pbBCN_876rdyeq2dmhZK1dMRLdaMfDXRv=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOvKYXPcVGbgOTr4SqbT5xFVsKkLV45cEitfo0Q=s287-w287-h192-n-k-no-v1']"
NE Independent Studio Apartment by The Taj Studio,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CM8DEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAEBY&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQkk9MihDaG9Rd09XNDM2R2Z6YzY1QVJvTkwyY3ZNVEZzTm1vd2RtYzBjaEFDOA1IAA&ap=MAE,"₹2,750","₹2,750",,,"['Apartment', 'Sleeps 2', '1 bedroom', '1 bathroom', '4 sq m', 'Balcony', 'Kitchen', 'Free parking', 'Free Wi-Fi']","['https://lh5.googleusercontent.com/proxy/D9iRT2VCjxGI5XLwU-meqcwEoEdz9G6TPvBdh0Bitdfj_6UqqeV0G1h2FSCFvRZj-_VPwYbKmwHJrxyz57N5SX0-wWUUf_lQeZJiwLDM0bOnt-Z8rBjafWbsy_1Z9lvwJPYNSLKb_DqunBE3KBJWPpaQZdvcMQ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/proxy/znE7t9pk8g7hvoSURJJ34mM7NpNo7UGG8UXPgdeGAIKmc4KgTK0i7NrS1Pq0_r1m1ZPKO6JTMd6fuFgd2fN3peELdJo-A6CXHaZFgoS5jggX35uiKXDHNmFlyulXK5janL5URPHaFLNVCgnmuiHHXhCz4jErx70=s287-w287-h192-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/-beBq3IIH_WifkTst6VSNJ0AcQTtdGhw7e874XDr2mz0kwWGgK8JUJN_V5jR5dQBAXno85NZ3zXWPF9HYbTDW3viKbksaF7j4NdKF0VocO6tF6GSvZa1aP0o84gtk7Lu2DwBwtmfl6HLel85VtxImHEGcDhGJg=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/proxy/SLdqc_kYp5vhTmbaGyl5QdMumt2RsR0aJrFjQ-EyR2uH4XUXlSLhG0E3nI1nzr9OkEFD6jrbio10Onw8LJ3DgFgS-9_PKsrT3dWPofmn74Rlnd0S_4B8mp3SAZwkrvm0AWKz9dx77MXJSPrqYzzHMCw17netfg=s287-w287-h192-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/DxrnFzyycj_iSdpk-3mIgVI6OaLQqz1y_avzctJBB2IElUdn7D8c7eUu64kJg0YLsDxabfQRDXTlmwruh2UVEICWLgeZ6YOeifarQGg3IPs2zaEdxmrfNLhH4lTN9Ia3qvB3j7DO6Eg9dEbBpPGPS99ox4WC9g=s287-w287-h192-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/JjbrJWtTEyKmR1OdrjzRCg3Vuz99eP30iblWZhDoVpPI4_jX1BYrzb4X_j1g69K3Mro_df-ZCg002pLvgG2X_4oztzd7-AnVAfcHLmdsL2ij1DvTJ-cKiPwElqM4Wzz6KUaTlMpe0peMIzZzvlLZIshpjdyqjA=s287-w287-h192-n-k-no-v1']"
The Castle Blue Hotel,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CAQQyvcEahcKEwiop_7k8-GDAxUAAAAAHQAAAAAQJw&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9Jd2EtRXNjNmsyTXFMQVJvTkwyY3ZNVEZ6ZHpCc2JHUnRiUkFCOA1IAA&ap=MAE,"₹2,688","₹2,688",4.8,93,"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Airport shuttle', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipNeKNmDnHci-2WikqTUcTXHrJiPx411T1atk6sU=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOZn2T7I0Crfe15kQn_cu2TGts06uaF-qE2Z-R5=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipP-wJ8neG9Yl79QkUKYNAeZb5CLRLqBPsXZojup=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNvDVQvl9YXiYQl3mgJulG-5s0kd62LSClXt6t3=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPZ4EWL3RkxNLfTGrM7ChvuVW_42FBI-1ArZHiv=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPg7dhS0qveQv0sxgQHB1pyaNsnT9tiXGOvb217=s287-w287-h192-n-k-no-v1']"
Grand Heritage Resort,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CBsQyvcEahcKEwiop_7k8-GDAxUAAAAAHQAAAAAQJw&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MidDaGtJaDdtXzNicW14S1VXR2cwdlp5OHhNV0ppY210bk5HdGZFQUU4DUgA&ap=MAE,"₹2,517","₹2,517",3.9,2415,"['2-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","['https://lh5.googleusercontent.com/p/AF1QipOOKP-gtwG6r2MD-is2z8uiCedfe6M4AxZko4_t=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPtWB25o3TL6J2crraTyHBuq0a2O_AxlPMpXnp0=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipONiO17fohdqkvlI4rbDrVYve9YTkAImQm3YRQ8=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMJchw77kuhegAtpCAYPsjWyrd5X-O7Vlc30lYQ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPiHok8PM0YtYMspXmyXiwI0FYJ6DmpRbkLwDr6=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPnh9LeTbCcIAYJ7PTnULjw5h1rKST3MyarcXIo=s287-w287-h192-n-k-no-v1']"
Hotel RJ - Managed by AHG,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CDIQyvcEahcKEwiop_7k8-GDAxUAAAAAHQAAAAAQJw&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MidDaGtJejhyRF9MbUVySXdIR2cwdlp5OHhNV3A2Y0hONWRub3pFQUU4DUgA&ap=MAE,"₹4,032","₹4,032",4.6,105,"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipMFFotXQp9BcE-iFRpaUZRG1RVXW3n-4WgVqLg=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOCfp8eyH8IksXyigLQFVkPGqcdjUEf514aIFw=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMocJ00yZww6KWbbNo8DHZYIoggQc353fc-j_0=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMYVYYiFfTJbKM9ECDjSihX99_-kC4_AyJnmKg=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMcEKqDCz_cBZaS6vE1pMfeu37KukfVpUNdjT4=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPC47FKAWgm0m2K0NpLFQZuJEqOcNCC7n0436M=s287-w287-h192-n-k-no-v1']"
Treebo Tryst Embassy Inn,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CFAQyvcEahcKEwiop_7k8-GDAxUAAAAAHQAAAAAQJw&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9JeUxuQnJMRDRsc3J4QVJvTkwyY3ZNVEYyWTNSeGR6bGlkQkFCOA1IAA&ap=MAE,"₹4,758","₹4,758",4.3,34,"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Pool', 'Bar', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Full-service laundry']","['https://lh3.googleusercontent.com/proxy/vvQWZC2IGzv2XTUs9VKp7_myzkoIuYqARGQdYLMHFnRC2s_EZCwOZPY-DaFY969Wl9aKNq8OcjbC-pQaM0IA0476kRbuUpyd35czbnBXvsb1AwOvpPxpt-OvIfK6IQ-xPf_2d2XziisQ3ApWZinqwDY9vxFujm0=s287-w287-h192-n-k-no-v1', 'https://lh6.googleusercontent.com/proxy/d__Nt2OBjzk2XWsztqrIOyJDSGezFDJ3nM5OJ40FZpPlcjvaiwPuUtMP59s7bg32gyK6O4hGgNbMVhE2xsx1xhaBGYzz7MoNkxZwyty6z8vicTK_4t8otq5GAePo-fL5oRQ5xR8xfHv6jeWAQeQFBxPs-YSaOA=s287-w287-h192-n-k-no-v1', 'https://lh6.googleusercontent.com/proxy/mv5PYnGpIAlm9xcifKCY0Pwf-B5yjJSvY_ohaRDKntc-IToE7h-exBsOlZZeEe0a_hj4Pgi0-33w-E-gxxF7ZNBoni0rwP0JjS4qix8xRKebma5E05x678X4xoiJHQ8inGPQW6TuTQ7-sBUWxJOV6LYtyF1ZEXs=s287-w287-h192-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/AYyYVEqzsmdcQiruBJF6T2LgnJL4HcWFXVXkJLXXHz_EepGxODKqsxWnERk0M7vE9oXDDoUM-UG_emqhUSjpP_4KXF1oc4aD4y8fSw_Eew9fdJAOiqALf0QGKnRKrlTCLh_zDKNnARrbco1aKMaeoaCN0TzIsQ=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/proxy/P5P9zqLWvUZflkg4RHju1aLVdvW_ewTGREb_bfW60zauIbGVN-2vIZwTtnrNrSZLJfrLDlt9RnDofZmTi3IH0TWzqCKIugyJyBnyW_MSbQnyjB6hGYwZG9AWJSd2m5n3ZwhhZwzJq9kw98b1-FTXD_9WRF19YA=s287-w287-h192-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/TSY9MJNxAK_SndDbSHt1rqGKkSMnRcKeZef-aK3X9GVcack_Uisfj19-1aD-IBNETdB_-XcZzuNk-_Uw4EpD3nc4ZmvHyJgGTdkAY7a_0G2-7EiIFgIjFupZ1ooC0WV4QwoLxr_OWLh-PTEDFIpeV-j6OpM-QA=s287-w287-h192-n-k-no-v1']"
Belvedere Suites- A Boutique Hotel,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CGsQyvcEahcKEwiop_7k8-GDAxUAAAAAHQAAAAAQJw&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MidDaGtJOWRYWG00YXEwUGdvR2cwdlp5OHhNWE5vYzNZM2MySTBFQUU4DUgA&ap=MAE,"₹3,422","₹3,422",4.3,77,"['Free Wi-Fi', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipP7wnPuX5qpyJGKVBknSYHtNwY8Ju6wNsaDfkDq=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMrB7nunGblRpzZptg7liZ7ffiT5xy5ibBk_hNn=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMVW7ZcJK-GACpa24L_TqjG_9o3W4SDgxKMNM7p=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOOBcFDaUaHrzgHMsemv54VWwTO91RgHks24An8=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMVS73pbBCN_876rdyeq2dmhZK1dMRLdaMfDXRv=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOvKYXPcVGbgOTr4SqbT5xFVsKkLV45cEitfo0Q=s287-w287-h192-n-k-no-v1']"
M.K Hotel & Restaurant | Hotel in Greater Noida,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CIMBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9JaFBlcy1fbldxOXZQQVJvTkwyY3ZNVEZ3Wm00MU1qWjNNQkFCOA1IAA&ap=MAE,"₹4,480","₹4,480",4.3,131,"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Kid-friendly']","['https://lh5.googleusercontent.com/p/AF1QipPpJe2Jd9bPc9mF0hyxPgAlH6jae5dNaaNU8Hek=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOYNppEYL09du_3zV9sY5e7dhFF5oqPDl5_iuGi=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNMDzuPVP0teUBShDIRUuWlZpFNtYNl5YWqxJ9S=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipO8SHb0nypR4_KTBPWbSVkEkJ_n1Y77_851mlrE=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNbZUWniiAOxulos5CYMLGqv0tVuNgAYB2r0B4R=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMGTuswMASIj904f4cqf5koAgIbfCwn6_k98U0y=s287-w287-h192-n-k-no-v1']"
Hotel Radient Casa,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CJoBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9JdGRpcmd2SHppci1YQVJvTkwyY3ZNVEZvTTJzMU5GOWpYeEFCOA1IAA&ap=MAE,"₹2,798","₹2,798",4.4,49,"['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","['https://lh5.googleusercontent.com/p/AF1QipOPzRqdDt-KIlFWhvu-1JnuGAsxyDf21J1SCb0b=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPNdAX-_EgV6-rfVR3UcW4tcVs8zJMeivE0Grv-=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOjeBUJ0DaO3T-6eRprzO_jN6nRUTGXXmElDQbj=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOpkJ3m3Zeww7VQ2tl_mHVlH0epM_UJ3aU6mf92=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPMnokRWYgeUcrb8tEjOjLooPTYRh-m3CRkadoR=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOqe4DGNo0chHm_469uAufWIMiDgIIkxaT5LSJn=s287-w287-h192-n-k-no-v1']"
FabHotel The Grand Suite,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CLEBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MidDaGtJMG9HWnZONkxycVlOR2cwdlp5OHhNWFJxZW5vMmEyMWtFQUU4DUgA&ap=MAE,"₹1,160","₹1,160",4.4,67,"['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Kid-friendly']","['https://lh5.googleusercontent.com/p/AF1QipNRXyYukBjMx1oPnsm1HIDmHbpkqzdoOvJnOs0L=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMLOB0Mi9Ofe08IudgkXaPt9w_Gu8QSUgLt35EQ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/proxy/JZMS6M1U_HdSwgs5wLnoVa5MFpORYkZld7B5SEEHYGIkzGvganL1v8b3x5SpTbHisOEEhoDMpSukr2a_xEEcfmzW1_SI3huhqaz8bfNdELQuznRISTY8ulzD3HkjmKutn9Bkujr3u5HAYizHg8k8g6xctkv36A=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNcxXmB3KHz8jEBB93SRbrdr3shxBOnjr8-LbMP=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNfhgyupKZiuF-Rjhb9UdW9vGyylpBIytGrCZDC=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNj7wy7MW9oq6GL1auO_0M1yDWe7dCS3xvFE0zt=s287-w287-h192-n-k-no-v1']"
Atithi Plaza - An AHG Hotel,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CMwBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9JOHRTcjV2R0t0Wm1LQVJvTkwyY3ZNVEZvWDNONk5UVnNOQkFCOA1IAA&ap=MAE,"₹2,509","₹2,509",4.2,26,"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Airport shuttle']","['https://lh5.googleusercontent.com/p/AF1QipNdbDDLdX7j01d18MQIRar04EDmUS2WeCQiHJrN=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipODo7ShRtg1_sgWZle7OzO3V4JHm3Fd3Twc2DaX=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipP-A1RUSya8ff5vd7ZR7-1DlLooU8rUveRkvcaM=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNH-HOt76rHyS-nC2DeJYQ52gXdJ33UzxOoRJor=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOyOSC3HHIU-TJukje3O6bipFlhdyHUd1BLTiVX=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNx4Lmaqq6Cv_zMOc_yK-k5SXS0TBS6rjBZ1cGz=s287-w287-h192-n-k-no-v1']"
Treebo Trend Torque,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0COMBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MihDaG9JLVpfc21kWGJsZVNJQVJvTkwyY3ZNVEZ4WXpZME5qWjZjQkFCOA1IAA&ap=MAE,"₹2,226","₹2,226",4.3,72,"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Pool', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Full-service laundry']","['https://lh5.googleusercontent.com/p/AF1QipNFEisbk5sBbq9hfQmlMLX3RXxoibi-X0yys_7k=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMpXOtvCXDH-yj3lOmDhxPO4bVajrwUOMnv3R-E=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMnWEjTiV0K8-vANuL7xNpgVZWXrQ9YEhBf3Qul=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNd9ZvOhmXjhp6Ih-waXjxfw36Hrx3gSFGHp10P=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMmhLd0kQ_BmQdtVU-bFzf46Atm0JT6dpkg7cjy=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipM3nF3BEanVFYhVO9NYEltKq6c4FYQp0_1IV9cM=s287-w287-h192-n-k-no-v1']"
The Taj Studios,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=0CPoBEMr3BGoXChMIqKf-5PPhgwMVAAAAAB0AAAAAECc&ts=CAESCgoCCAMKAggDEAAaVgo4EjYyJTB4MzkwY2VhNjRiOGY4OWFlZjoweGVjMGNjYWJiNTMxNzk2MmU6DUdyZWF0ZXIgTm9pZGESGhIUCgcI6A8QARgaEgcI6A8QARgbGAEyAhAAKgcKBToDSU5S&qs=EgRDQ1E9MidDaGtJc2NTandjcno1dk1iR2cwdlp5OHhNWEV6ZW10ZmQzRnFFQUU4DUgA&ap=MAE,"₹2,524","₹2,524",3.7,67,[],"['https://lh5.googleusercontent.com/p/AF1QipMAhLWxGhkt3IlrJQ6PUaoB4Hog1Y3redjf18Zn=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPsWR5hmh8SASHi9RsAMwnsyI4RLxFkaQi0tV_a=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMl-Gi16NuXLU1omEbJQuyxHLGZFXmfOPnot-SY=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOPN-QPwabY4XVmOATzLYOJ_FTxudr9-FtlPS5e=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOByVXHOfcO3pFSu46yfqUVQc6GM2ng4kk_tP3p=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNZD2bXlVMTggTij6jNY11ahQHbBxO-NHu3mnZj=s287-w287-h192-n-k-no-v1']"
